matrix-tech-tws
                 AWSCodeCommitFullAccess         iam:DeleteSSHPublicKey
                 AWSCodeCommitFullAccess            iam:GetSSHPublicKey
                 AWSCodeCommitFullAccess          iam:ListSSHPublicKeys
                 AWSCodeCommitFullAccess         iam:UpdateSSHPublicKey
                 AWSCodeCommitFullAccess         iam:UploadSSHPublicKey
                 AWSCodeCommitFullAccess iam:CreateServiceSpecificCredential
                 AWSCodeCommitFullAccess iam:UpdateServiceSpecificCredential
                 AWSCodeCommitFullAccess iam:DeleteServiceSpecificCredential
                 AWSCodeCommitFullAccess iam:ResetServiceSpecificCredential

 IAMSelfManageServiceSpecificCredentials iam:CreateServiceSpecificCredential
 IAMSelfManageServiceSpecificCredentials iam:ListServiceSpecificCredentials
 IAMSelfManageServiceSpecificCredentials iam:UpdateServiceSpecificCredential
 IAMSelfManageServiceSpecificCredentials iam:DeleteServiceSpecificCredential
 IAMSelfManageServiceSpecificCredentials iam:ResetServiceSpecificCredential

                  AmazonEMRCleanupPolicy          ec2:DescribeInstances
                  AmazonEMRCleanupPolicy ec2:DescribeSpotInstanceRequests
                  AmazonEMRCleanupPolicy    ec2:ModifyInstanceAttribute
                  AmazonEMRCleanupPolicy         ec2:TerminateInstances
                  AmazonEMRCleanupPolicy ec2:CancelSpotInstanceRequests
                  AmazonEMRCleanupPolicy     ec2:DeleteNetworkInterface
                  AmazonEMRCleanupPolicy  ec2:DescribeInstanceAttribute
                  AmazonEMRCleanupPolicy       ec2:DescribeVolumeStatus
                  AmazonEMRCleanupPolicy            ec2:DescribeVolumes
                  AmazonEMRCleanupPolicy               ec2:DetachVolume
                  AmazonEMRCleanupPolicy               ec2:DeleteVolume

              AWSCloud9EnvironmentMember         cloud9:GetUserSettings
              AWSCloud9EnvironmentMember      cloud9:UpdateUserSettings
              AWSCloud9EnvironmentMember                    iam:GetUser
              AWSCloud9EnvironmentMember                  iam:ListUsers
              AWSCloud9EnvironmentMember cloud9:DescribeEnvironmentMemberships

                     AmazonSQSFullAccess                          sqs:*

          AlexaForBusinessReadOnlyAccess                       a4b:Get*
          AlexaForBusinessReadOnlyAccess                      a4b:List*
          AlexaForBusinessReadOnlyAccess                  a4b:Describe*

                     AWSLambdaFullAccess cloudformation:DescribeChangeSet
                     AWSLambdaFullAccess cloudformation:DescribeStackResources
                     AWSLambdaFullAccess  cloudformation:DescribeStacks
                     AWSLambdaFullAccess     cloudformation:GetTemplate
                     AWSLambdaFullAccess cloudformation:ListStackResources
                     AWSLambdaFullAccess                   cloudwatch:*
                     AWSLambdaFullAccess cognito-identity:ListIdentityPools
                     AWSLambdaFullAccess  cognito-sync:GetCognitoEvents
                     AWSLambdaFullAccess  cognito-sync:SetCognitoEvents
                     AWSLambdaFullAccess                     dynamodb:*
                     AWSLambdaFullAccess     ec2:DescribeSecurityGroups
                     AWSLambdaFullAccess            ec2:DescribeSubnets
                     AWSLambdaFullAccess               ec2:DescribeVpcs
                     AWSLambdaFullAccess                       events:*
                     AWSLambdaFullAccess                  iam:GetPolicy
                     AWSLambdaFullAccess           iam:GetPolicyVersion
                     AWSLambdaFullAccess                    iam:GetRole
                     AWSLambdaFullAccess              iam:GetRolePolicy
                     AWSLambdaFullAccess   iam:ListAttachedRolePolicies
                     AWSLambdaFullAccess           iam:ListRolePolicies
                     AWSLambdaFullAccess                  iam:ListRoles
                     AWSLambdaFullAccess                   iam:PassRole
                     AWSLambdaFullAccess      iot:AttachPrincipalPolicy
                     AWSLambdaFullAccess       iot:AttachThingPrincipal
                     AWSLambdaFullAccess   iot:CreateKeysAndCertificate
                     AWSLambdaFullAccess               iot:CreatePolicy
                     AWSLambdaFullAccess                iot:CreateThing
